,Runs_scored,Minutes_at_crease,Balls_Faced,Number_of_4s,Number_of_6s,Strike_rate,Position,Dismissal,Innings,Opposition,Ground,Start_date,Odi_number,status,Month,Year,Number_of_50s
0,26,30,21,3,1,123.8,5,not out,2,v Zimbabwe,Harare,2010-06-12,T20I # 182,Not_out,6,2010,0
2,28,28,19,5,0,147.36,1,bowled,1,v South Africa,Durban,2011-01-09,T20I # 196,Out,1,2011,0
3,14,15,12,2,0,116.66,3,caught,1,v West Indies,Port of Spain,2011-06-04,T20I # 200,Out,6,2011,0
4,4,5,5,0,0,80.0,4,caught,1,v England,Manchester,2011-08-31,T20I # 204,Out,8,2011,0
5,15,21,16,3,0,93.75,3,caught,1,v England,Eden Gardens,2011-10-29,T20I # 214,Out,10,2011,0
6,22,30,21,0,1,104.76,3,caught,2,v Australia,Sydney,2012-02-01,T20I # 217,Out,2,2012,0
7,31,29,24,3,0,129.16,3,caught,2,v Australia,Melbourne,2012-02-03,T20I # 218,Out,2,2012,0
9,68,65,48,11,1,141.66,3,caught,1,v Sri Lanka,Pallekele,2012-08-07,T20I # 255,Out,8,2012,1
10,70,67,41,10,1,170.73,2,caught,2,v New Zealand,Chennai,2012-09-11,T20I # 261,Out,9,2012,1
11,50,60,39,4,2,128.2,3,caught,1,v Afghanistan,Colombo (RPS),2012-09-19,T20I # 265,Out,9,2012,1
12,40,33,32,6,0,125.0,3,caught,1,v England,Colombo (RPS),2012-09-23,T20I # 272,Out,9,2012,0
13,15,18,13,2,0,115.38,3,caught,1,v Australia,Colombo (RPS),2012-09-28,T20I # 278,Out,9,2012,0
14,78,61,61,8,2,127.86,3,not out,2,v Pakistan,Colombo (RPS),2012-09-30,T20I # 282,Not_out,9,2012,1
15,2,5,6,0,0,33.33,3,caught,1,v South Africa,Colombo (RPS),2012-10-02,T20I # 286,Out,10,2012,0
16,21,35,17,2,0,123.52,3,bowled,2,v England,Pune,2012-12-20,T20I # 292,Out,12,2012,0
17,38,25,20,7,0,190.0,3,lbw,1,v England,Wankhede,2012-12-22,T20I # 294,Out,12,2012,0
18,9,15,11,1,0,81.81,3,caught,1,v Pakistan,Bengaluru,2012-12-25,T20I # 296,Out,12,2012,0
19,27,31,22,3,0,122.72,3,run out,1,v Pakistan,Ahmedabad,2012-12-28,T20I # 298,Out,12,2012,0
20,29,26,22,2,1,131.81,4,caught,2,v Australia,Rajkot,2013-10-10,T20I # 331,Out,10,2013,0
21,36,45,32,4,1,112.5,3,not out,2,v Pakistan,Mirpur,2014-03-21,T20I # 378,Not_out,3,2014,0
22,54,51,41,5,1,131.7,3,bowled,2,v West Indies,Mirpur,2014-03-23,T20I # 382,Out,3,2014,1
23,57,66,50,3,1,114.0,3,not out,2,v Bangladesh,Mirpur,2014-03-28,T20I # 389,Not_out,3,2014,1
24,23,23,22,2,1,104.54,3,caught,1,v Australia,Mirpur,2014-03-30,T20I # 393,Out,3,2014,0
25,72,67,44,5,2,163.63,3,not out,2,v South Africa,Mirpur,2014-04-04,T20I # 399,Not_out,4,2014,1
26,77,75,58,5,4,132.75,3,run out,1,v Sri Lanka,Mirpur,2014-04-06,T20I # 400,Out,4,2014,1
27,66,54,41,9,1,160.97,3,caught,2,v England,Birmingham,2014-09-07,T20I # 405,Out,9,2014,1
28,43,58,27,1,3,159.25,3,caught,1,v South Africa,Dharamsala,2015-10-02,T20I # 456,Out,10,2015,0
29,1,3,1,0,0,100.0,3,run out,1,v South Africa,Cuttack,2015-10-05,T20I # 457,Out,10,2015,0
30,90,71,55,9,2,163.63,3,not out,1,v Australia,Adelaide,2016-01-26,T20I # 485,Not_out,1,2016,1
31,59,44,33,7,1,178.78,3,not out,1,v Australia,Melbourne,2016-01-29,T20I # 486,Not_out,1,2016,1
32,50,49,36,2,1,138.88,3,bowled,2,v Australia,Sydney,2016-01-31,T20I # 489,Out,1,2016,1
33,7,13,12,1,0,58.33,3,caught,1,v Bangladesh,Mirpur,2016-02-24,T20I # 509,Out,2,2016,0
34,49,71,51,7,0,96.07,3,lbw,2,v Pakistan,Mirpur,2016-02-27,T20I # 512,Out,2,2016,0
35,56,85,47,7,0,119.14,3,not out,2,v Sri Lanka,Mirpur,2016-03-01,T20I # 515,Not_out,3,2016,1
37,41,62,28,5,0,146.42,3,not out,2,v Bangladesh,Mirpur,2016-03-06,T20I # 521,Not_out,3,2016,0
38,23,-,27,2,0,85.18,3,caught,2,v New Zealand,Nagpur,2016-03-15,T20I # 535,Out,3,2016,0
39,55,66,37,7,1,148.64,3,not out,2,v Pakistan,Eden Gardens,2016-03-19,T20I # 541,Not_out,3,2016,1
40,24,37,24,0,1,100.0,3,bowled,1,v Bangladesh,Bengaluru,2016-03-23,T20I # 547,Out,3,2016,0
41,82,78,51,9,2,160.78,3,not out,2,v Australia,Mohali,2016-03-27,T20I # 553,Not_out,3,2016,1
42,89,63,47,11,1,189.36,3,not out,1,v West Indies,Wankhede,2016-03-31,T20I # 556,Not_out,3,2016,1
43,16,8,9,3,0,177.77,3,caught,2,v West Indies,Lauderhill,2016-08-27,T20I # 562,Out,8,2016,0
45,29,34,26,4,0,111.53,1,caught,1,v England,Kanpur,2017-01-26,T20I # 592,Out,1,2017,0
46,21,17,15,2,1,140.0,1,caught,1,v England,Nagpur,2017-01-29,T20I # 593,Out,1,2017,0
47,2,6,4,0,0,50.0,1,run out,1,v England,Bengaluru,2017-02-01,T20I # 594,Out,2,2017,0
48,39,-,22,7,1,177.27,1,caught,1,v West Indies,Kingston,2017-07-09,T20I # 617,Out,7,2017,0
49,82,-,54,7,1,151.85,3,caught,2,v Sri Lanka,Colombo (RPS),2017-09-06,T20I # 618,Out,9,2017,1
50,22,19,14,3,0,157.14,3,not out,2,v Australia,Ranchi,2017-10-07,T20I # 623,Not_out,10,2017,0
51,0,2,2,0,0,0.0,3,caught,1,v Australia,Guwahati,2017-10-10,T20I # 624,Out,10,2017,0
52,26,19,11,0,3,236.36,4,not out,1,v New Zealand,Delhi,2017-11-01,T20I # 630,Not_out,11,2017,0
53,65,59,42,8,1,154.76,4,caught,2,v New Zealand,Rajkot,2017-11-04,T20I # 631,Out,11,2017,1
54,13,6,6,1,1,216.66,3,caught,1,v New Zealand,Thiruvananthapuram,2017-11-07,T20I # 632,Out,11,2017,0
55,26,26,20,2,1,130.0,4,lbw,1,v South Africa,Johannesburg,2018-02-18,T20I # 652,Out,2,2018,0
56,1,6,5,0,0,20.0,4,caught,1,v South Africa,Centurion,2018-02-21,T20I # 654,Out,2,2018,0
57,0,1,2,0,0,0.0,6,caught,1,v Ireland,Dublin (Malahide),2018-06-27,T20I # 678,Out,6,2018,0
58,9,-,8,1,0,112.5,2,caught,1,v Ireland,Dublin (Malahide),2018-06-29,T20I # 680,Out,6,2018,0
59,20,-,22,0,1,90.9,4,not out,2,v England,Manchester,2018-07-03,T20I # 684,Not_out,7,2018,0
60,47,-,38,1,2,123.68,4,caught,1,v England,Cardiff,2018-07-06,T20I # 688,Out,7,2018,0
61,43,-,29,2,2,148.27,4,caught,2,v England,Bristol,2018-07-08,T20I # 690,Out,7,2018,0
62,4,-,8,0,0,50.0,4,caught,2,v Australia,Brisbane,2018-11-21,T20I # 712,Out,11,2018,0
64,61,-,41,4,2,148.78,3,not out,2,v Australia,Sydney,2018-11-25,T20I # 714,Not_out,11,2018,1
65,24,25,17,3,0,141.17,3,caught,1,v Australia,Visakhapatnam,2019-02-24,T20I # 748,Out,2,2019,0
66,72,63,38,2,6,189.47,3,not out,1,v Australia,Bengaluru,2019-02-27,T20I # 749,Not_out,2,2019,1
67,19,-,29,1,0,65.51,3,caught,2,v West Indies,Lauderhill,2019-08-03,T20I # 842,Out,8,2019,0
68,28,-,23,1,1,121.73,3,bowled,1,v West Indies,Lauderhill,2019-08-04,T20I # 843,Out,8,2019,0
69,59,-,45,6,0,131.11,3,caught,2,v West Indies,Providence,2019-08-06,T20I # 846,Out,8,2019,1
70,72,66,52,4,3,138.46,3,not out,2,v South Africa,Mohali,2019-09-18,T20I # 888,Not_out,9,2019,1
71,9,28,15,0,0,60.0,3,caught,1,v South Africa,Bengaluru,2019-09-22,T20I # 893,Out,9,2019,0
72,94,-,50,6,6,188.0,3,not out,2,v West Indies,Hyderabad,2019-12-06,T20I # 1020,Not_out,12,2019,1
73,19,-,17,2,0,111.76,4,caught,1,v West Indies,Thiruvananthapuram,2019-12-08,T20I # 1022,Out,12,2019,0
74,70,-,29,4,7,241.37,4,not out,1,v West Indies,Wankhede,2019-12-11,T20I # 1024,Not_out,12,2019,1
76,30,-,17,1,2,176.47,4,not out,2,v Sri Lanka,Indore,2020-01-07,T20I # 1026,Not_out,1,2020,0
77,26,-,17,2,1,152.94,6,run out,1,v Sri Lanka,Pune,2020-01-10,T20I # 1027,Out,1,2020,0
78,45,-,32,3,1,140.62,3,caught,2,v New Zealand,Auckland,2020-01-24,T20I # 1031,Out,1,2020,0
79,11,21,12,1,0,91.66,3,caught,2,v New Zealand,Auckland,2020-01-26,T20I # 1034,Out,1,2020,0
80,38,31,27,2,1,140.74,4,caught,1,v New Zealand,Hamilton,2020-01-29,T20I # 1035,Out,1,2020,0
81,11,16,9,2,0,122.22,3,caught,1,v New Zealand,Wellington,2020-01-31,T20I # 1036,Out,1,2020,0
82,9,-,9,1,0,100.0,3,caught,1,v Australia,Canberra,2020-12-04,T20I # 1114,Out,12,2020,0
83,40,-,24,2,2,166.66,3,caught,2,v Australia,Sydney,2020-12-06,T20I # 1115,Out,12,2020,0
84,85,-,61,4,3,139.34,3,caught,2,v Australia,Sydney,2020-12-08,T20I # 1116,Out,12,2020,1
85,0,6,5,0,0,0.0,3,caught,1,v England,Ahmedabad,2021-03-12,T20I # 1131,Out,3,2021,0
86,73,85,49,5,3,148.97,3,not out,2,v England,Ahmedabad,2021-03-14,T20I # 1132,Not_out,3,2021,1
87,77,80,46,8,4,167.39,4,not out,1,v England,Ahmedabad,2021-03-16,T20I # 1133,Not_out,3,2021,1
88,1,3,5,0,0,20.0,4,stumped,1,v England,Ahmedabad,2021-03-18,T20I # 1135,Out,3,2021,0
89,80,103,52,7,2,153.84,2,not out,1,v England,Ahmedabad,2021-03-20,T20I # 1138,Not_out,3,2021,1
90,57,94,49,5,1,116.32,3,caught,1,v Pakistan,Dubai (DSC),2021-10-24,T20I # 1361,Out,10,2021,1
91,9,20,17,0,0,52.94,4,caught,1,v New Zealand,Dubai (DSC),2021-10-31,T20I # 1381,Out,10,2021,0
93,2,7,2,0,0,100.0,3,not out,2,v Scotland,Dubai (DSC),2021-11-05,T20I # 1396,Not_out,11,2021,0
95,17,25,13,1,0,130.76,3,caught,2,v West Indies,Eden Gardens,2022-02-16,T20I # 1467,Out,2,2022,0
96,52,57,41,7,1,126.82,3,bowled,1,v West Indies,Eden Gardens,2022-02-18,T20I # 1473,Out,2,2022,1
97,1,8,3,0,0,33.33,3,caught,1,v England,Birmingham,2022-07-09,T20I # 1628,Out,7,2022,0
98,11,8,6,1,1,183.33,3,caught,2,v England,Nottingham,2022-07-10,T20I # 1631,Out,7,2022,0
99,35,47,34,3,1,102.94,3,caught,2,v Pakistan,Dubai (DSC),2022-08-28,T20I # 1750,Out,8,2022,0
100,59,74,44,1,3,134.09,3,not out,1,v Hong Kong,Dubai (DSC),2022-08-31,T20I # 1754,Not_out,8,2022,1
101,60,77,44,4,1,136.36,3,run out,1,v Pakistan,Dubai (DSC),2022-09-04,T20I # 1758,Out,9,2022,1
102,0,6,4,0,0,0.0,3,bowled,1,v Sri Lanka,Dubai (DSC),2022-09-06,T20I # 1759,Out,9,2022,0
103,122,90,61,12,6,200.0,2,not out,1,v Afghanistan,Dubai (DSC),2022-09-08,T20I # 1761,Not_out,9,2022,1
104,2,12,7,0,0,28.57,3,caught,1,v Australia,Mohali,2022-09-20,T20I # 1788,Out,9,2022,0
105,11,-,6,2,0,183.33,3,bowled,2,v Australia,Nagpur,2022-09-23,T20I # 1794,Out,9,2022,0
106,63,89,48,3,4,131.25,3,caught,2,v Australia,Hyderabad,2022-09-25,T20I # 1796,Out,9,2022,1
107,3,19,9,0,0,33.33,3,caught,2,v South Africa,Thiruvananthapuram,2022-09-28,T20I # 1800,Out,9,2022,0
108,49,56,28,7,1,175.0,3,not out,1,v South Africa,Guwahati,2022-10-02,T20I # 1803,Not_out,10,2022,0
109,82,98,53,6,4,154.71,3,not out,2,v Pakistan,Melbourne,2022-10-23,T20I # 1842,Not_out,10,2022,1
110,62,79,44,3,2,140.9,3,not out,1,v Netherlands,Sydney,2022-10-27,T20I # 1848,Not_out,10,2022,1
111,12,13,11,2,0,109.09,3,caught,1,v South Africa,Perth,2022-10-30,T20I # 1853,Out,10,2022,0
112,64,84,44,8,1,145.45,3,not out,1,v Bangladesh,Adelaide,2022-11-02,T20I # 1860,Not_out,11,2022,1
113,26,36,25,2,0,104.0,3,caught,1,v Zimbabwe,Melbourne,2022-11-06,T20I # 1873,Out,11,2022,0
114,50,75,40,4,1,125.0,3,caught,1,v England,Adelaide,2022-11-10,T20I # 1878,Out,11,2022,1
115,29,20,16,5,0,181.25,3,caught,2,v Afghanistan,Indore,2024-01-14,T20I # 2431,Out,1,2024,0
