,Runs_scored,Minutes_at_crease,Balls_Faced,Number_of_4s,Number_of_6s,Strike_rate,Position,Dismissal,Innings,Opposition,Ground,Start_date,Odi_number,status,Year,Month
0,12,33,22,1,0,54.54,2,lbw,1,v Sri Lanka,Dambulla,2008-08-18,ODI # 2742,Out,2008,8
1,37,82,67,6,0,55.22,2,caught,2,v Sri Lanka,Dambulla,2008-08-20,ODI # 2745,Out,2008,8
2,25,40,38,4,0,65.78,1,run out,1,v Sri Lanka,Colombo (RPS),2008-08-24,ODI # 2750,Out,2008,8
3,54,87,66,7,0,81.81,1,bowled,1,v Sri Lanka,Colombo (RPS),2008-08-27,ODI # 2755,Out,2008,8
4,31,45,46,3,1,67.39,1,lbw,2,v Sri Lanka,Colombo (RPS),2008-08-29,ODI # 2756,Out,2008,8
5,2,6,2,0,0,100.00,7,not out,1,v Sri Lanka,Colombo (RPS),2009-09-14,ODI # 2889,Not_out,2009,9
6,16,28,24,1,0,66.66,4,caught,2,v Pakistan,Centurion,2009-09-26,ODI # 2898,Out,2009,9
8,79,121,104,9,2,75.96,4,not out,2,v West Indies,Johannesburg,2009-09-30,ODI # 2904,Not_out,2009,9
9,30,53,41,3,0,73.17,4,caught,2,v Australia,Vadodara,2009-10-25,ODI # 2913,Out,2009,10
10,10,32,16,1,0,62.50,3,caught,2,v Australia,Mohali,2009-11-02,ODI # 2919,Out,2009,11
11,27,20,19,4,0,142.10,7,bowled,1,v Sri Lanka,Rajkot,2009-12-15,ODI # 2932,Out,2009,12
12,54,93,65,7,0,83.07,4,lbw,1,v Sri Lanka,Nagpur,2009-12-18,ODI # 2933,Out,2009,12
13,107,-,114,11,1,93.85,4,caught,2,v Sri Lanka,Eden Gardens,2009-12-24,ODI # 2935,Out,2009,12
15,9,19,12,1,0,75.00,3,caught,1,v Sri Lanka,Mirpur,2010-01-05,ODI # 2938,Out,2010,1
16,91,136,102,7,0,89.21,3,caught,2,v Bangladesh,Mirpur,2010-01-07,ODI # 2939,Out,2010,1
17,71,98,68,9,0,104.41,3,not out,2,v Sri Lanka,Mirpur,2010-01-10,ODI # 2941,Not_out,2010,1
18,102,128,95,11,0,107.36,3,not out,2,v Bangladesh,Mirpur,2010-01-11,ODI # 2942,Not_out,2010,1
19,2,6,8,0,0,25.00,3,caught,1,v Sri Lanka,Mirpur,2010-01-13,ODI # 2943,Out,2010,1
20,31,-,46,1,0,67.39,5,caught,1,v South Africa,Jaipur,2010-02-21,ODI # 2961,Out,2010,2
22,57,-,71,4,1,80.28,3,caught,2,v South Africa,Ahmedabad,2010-02-27,ODI # 2963,Out,2010,2
23,0,3,0,0,0,-,3,run out,1,v Zimbabwe,Bulawayo,2010-05-28,ODI # 2981,Out,2010,5
24,82,125,92,4,0,89.13,3,caught,2,v Sri Lanka,Bulawayo,2010-05-30,ODI # 2983,Out,2010,5
25,18,28,29,1,0,62.06,3,caught,1,v Zimbabwe,Harare,2010-06-03,ODI # 2986,Out,2010,6
26,68,123,95,5,0,71.57,3,caught,1,v Sri Lanka,Harare,2010-06-05,ODI # 2988,Out,2010,6
27,11,35,22,0,0,50.00,3,stumped,2,v Bangladesh,Dambulla,2010-06-16,ODI # 2993,Out,2010,6
28,18,31,27,1,0,66.66,3,bowled,2,v Pakistan,Dambulla,2010-06-19,ODI # 2996,Out,2010,6
29,10,13,14,1,0,71.42,3,caught,1,v Sri Lanka,Dambulla,2010-06-22,ODI # 2999,Out,2010,6
30,28,57,34,4,0,82.35,3,caught,1,v Sri Lanka,Dambulla,2010-06-24,ODI # 3001,Out,2010,6
31,0,5,3,0,0,0.00,3,caught,2,v Sri Lanka,Dambulla,2010-08-16,ODI # 3032,Out,2010,8
32,8,22,16,1,0,50.00,3,caught,1,v New Zealand,Dambulla,2010-08-25,ODI # 3039,Out,2010,8
33,37,98,57,5,0,64.91,3,caught,2,v Sri Lanka,Dambulla,2010-08-28,ODI # 3040,Out,2010,8
34,118,193,121,11,1,97.52,3,caught,2,v Australia,Visakhapatnam,2010-10-20,ODI # 3060,Out,2010,10
35,105,162,104,10,0,100.96,3,caught,1,v New Zealand,Guwahati,2010-11-28,ODI # 3070,Out,2010,11
36,64,78,73,8,0,87.67,3,caught,2,v New Zealand,Jaipur,2010-12-01,ODI # 3072,Out,2010,12
37,63,83,70,6,2,90.00,3,not out,2,v New Zealand,Vadodara,2010-12-04,ODI # 3074,Not_out,2010,12
38,0,3,2,0,0,0.00,3,caught,2,v New Zealand,Bengaluru,2010-12-07,ODI # 3076,Out,2010,12
39,2,10,8,0,0,25.00,3,caught,2,v New Zealand,Chennai,2010-12-10,ODI # 3077,Out,2010,12
40,54,122,70,2,1,77.14,3,caught,2,v South Africa,Durban,2011-01-12,ODI # 3079,Out,2011,1
41,22,43,34,1,0,64.70,3,run out,1,v South Africa,Johannesburg,2011-01-15,ODI # 3080,Out,2011,1
42,28,51,41,5,0,68.29,3,caught,2,v South Africa,Cape Town,2011-01-18,ODI # 3082,Out,2011,1
43,87,126,92,7,2,94.56,3,not out,2,v South Africa,Gqeberha,2011-01-21,ODI # 3084,Not_out,2011,1
44,2,11,6,0,0,33.33,3,caught,2,v South Africa,Centurion,2011-01-23,ODI # 3087,Out,2011,1
45,100,113,83,8,2,120.48,4,not out,1,v Bangladesh,Mirpur,2011-02-19,ODI # 3100,Not_out,2011,2
46,8,12,5,1,0,160.00,7,bowled,1,v England,Bengaluru,2011-02-27,ODI # 3110,Out,2011,2
47,34,82,53,3,0,64.15,4,run out,2,v Ireland,Bengaluru,2011-03-06,ODI # 3121,Out,2011,3
48,12,16,20,2,0,60.00,5,bowled,2,v Netherlands,Delhi,2011-03-09,ODI # 3124,Out,2011,3
49,1,2,3,0,0,33.33,7,caught,1,v South Africa,Nagpur,2011-03-12,ODI # 3128,Out,2011,3
50,59,128,76,5,0,77.63,3,bowled,1,v West Indies,Chennai,2011-03-20,ODI # 3141,Out,2011,3
51,24,38,33,1,0,72.72,4,caught,2,v Australia,Ahmedabad,2011-03-24,ODI # 3143,Out,2011,3
52,9,20,21,0,0,42.85,4,caught,1,v Pakistan,Mohali,2011-03-30,ODI # 3147,Out,2011,3
53,35,69,49,4,0,71.42,4,caught,2,v Sri Lanka,Wankhede,2011-04-02,ODI # 3148,Out,2011,4
54,2,5,8,0,0,25.00,3,caught,2,v West Indies,Port of Spain,2011-06-06,ODI # 3159,Out,2011,6
55,81,118,103,6,1,78.64,3,caught,2,v West Indies,Port of Spain,2011-06-08,ODI # 3160,Out,2011,6
56,0,1,1,0,0,0.00,3,lbw,2,v West Indies,North Sound,2011-06-11,ODI # 3161,Out,2011,6
57,22,68,33,1,0,66.66,3,stumped,2,v West Indies,North Sound,2011-06-13,ODI # 3162,Out,2011,6
58,94,135,104,10,0,90.38,3,run out,1,v West Indies,Kingston,2011-06-16,ODI # 3163,Out,2011,6
59,55,92,73,4,0,75.34,4,bowled,1,v England,Chester-le-Street,2011-09-03,ODI # 3186,Out,2011,9
60,9,9,9,0,0,100.00,4,caught,1,v England,Southampton,2011-09-06,ODI # 3187,Out,2011,9
61,7,18,18,0,0,38.88,4,caught,1,v England,The Oval,2011-09-09,ODI # 3189,Out,2011,9
62,16,40,36,1,0,44.44,4,caught,1,v England,Lord's,2011-09-11,ODI # 3191,Out,2011,9
63,107,102,93,9,1,115.05,4,hit wicket,1,v England,Cardiff,2011-09-16,ODI # 3195,Out,2011,9
64,37,70,63,0,0,58.73,4,caught,1,v England,Hyderabad,2011-10-14,ODI # 3199,Out,2011,10
65,112,134,98,16,0,114.28,4,not out,2,v England,Delhi,2011-10-17,ODI # 3201,Not_out,2011,10
66,35,42,30,5,0,116.66,4,lbw,2,v England,Mohali,2011-10-20,ODI # 3205,Out,2011,10
67,86,-,99,11,0,86.86,4,not out,2,v England,Wankhede,2011-10-23,ODI # 3207,Not_out,2011,10
68,0,5,5,0,0,0.00,3,bowled,1,v England,Eden Gardens,2011-10-25,ODI # 3210,Out,2011,10
69,3,13,6,0,0,50.00,4,bowled,2,v West Indies,Cuttack,2011-11-29,ODI # 3217,Out,2011,11
70,117,154,123,14,0,95.12,4,caught,2,v West Indies,Visakhapatnam,2011-12-02,ODI # 3219,Out,2011,12
71,20,21,30,3,0,66.66,4,lbw,2,v West Indies,Ahmedabad,2011-12-05,ODI # 3221,Out,2011,12
72,23,15,11,3,0,209.09,6,not out,1,v West Indies,Indore,2011-12-08,ODI # 3223,Not_out,2011,12
73,80,99,85,5,0,94.11,5,caught,1,v West Indies,Chennai,2011-12-11,ODI # 3224,Out,2011,12
74,31,30,34,3,0,91.17,3,caught,2,v Australia,Melbourne,2012-02-05,ODI # 3231,Out,2012,2
75,77,156,94,8,1,81.91,3,run out,2,v Sri Lanka,Perth,2012-02-08,ODI # 3233,Out,2012,2
76,18,41,28,1,0,64.28,3,caught,2,v Australia,Adelaide,2012-02-12,ODI # 3237,Out,2012,2
77,15,32,25,1,0,60.00,3,lbw,2,v Sri Lanka,Adelaide,2012-02-14,ODI # 3239,Out,2012,2
78,12,44,25,0,0,48.00,3,caught,2,v Australia,Brisbane,2012-02-19,ODI # 3244,Out,2012,2
79,66,116,83,2,0,79.51,4,caught,2,v Sri Lanka,Brisbane,2012-02-21,ODI # 3246,Out,2012,2
80,21,36,27,2,0,77.77,4,caught,2,v Australia,Sydney,2012-02-26,ODI # 3250,Out,2012,2
81,133,133,86,16,2,154.65,4,not out,2,v Sri Lanka,Hobart,2012-02-28,ODI # 3251,Not_out,2012,2
82,108,148,120,7,0,90.00,3,caught,1,v Sri Lanka,Mirpur,2012-03-13,ODI # 3259,Out,2012,3
83,66,126,82,5,0,80.48,3,bowled,1,v Bangladesh,Mirpur,2012-03-16,ODI # 3261,Out,2012,3
84,183,211,148,22,1,123.64,3,caught,2,v Pakistan,Mirpur,2012-03-18,ODI # 3263,Out,2012,3
85,106,158,113,9,0,93.80,3,caught,1,v Sri Lanka,Hambantota,2012-07-21,ODI # 3291,Out,2012,7
86,1,6,5,0,0,20.00,3,caught,1,v Sri Lanka,Hambantota,2012-07-24,ODI # 3292,Out,2012,7
87,38,80,65,2,0,58.46,3,caught,2,v Sri Lanka,Colombo (RPS),2012-07-28,ODI # 3293,Out,2012,7
88,128,187,119,12,1,107.56,3,not out,2,v Sri Lanka,Colombo (RPS),2012-07-31,ODI # 3294,Not_out,2012,7
89,23,42,35,2,0,65.71,3,lbw,1,v Sri Lanka,Pallekele,2012-08-04,ODI # 3295,Out,2012,8
90,0,9,5,0,0,0.00,3,bowled,1,v Pakistan,Chennai,2012-12-30,ODI # 3314,Out,2012,12
91,6,12,9,1,0,66.66,3,caught,2,v Pakistan,Eden Gardens,2013-01-03,ODI # 3315,Out,2013,1
92,7,25,17,1,0,41.17,3,caught,1,v Pakistan,Delhi,2013-01-06,ODI # 3316,Out,2013,1
93,15,45,22,1,0,68.18,3,caught,2,v England,Rajkot,2013-01-11,ODI # 3318,Out,2013,1
94,37,86,54,1,1,68.51,3,caught,1,v England,Kochi,2013-01-15,ODI # 3320,Out,2013,1
95,77,110,79,9,2,97.46,3,not out,2,v England,Ranchi,2013-01-19,ODI # 3322,Not_out,2013,1
96,26,44,33,3,0,78.78,3,caught,2,v England,Mohali,2013-01-23,ODI # 3327,Out,2013,1
97,0,1,1,0,0,0.00,3,caught,1,v England,Dharamsala,2013-01-27,ODI # 3329,Out,2013,1
98,31,46,41,2,0,75.60,3,caught,1,v South Africa,Cardiff,2013-06-06,ODI # 3363,Out,2013,6
99,22,18,18,4,0,122.22,3,bowled,2,v West Indies,The Oval,2013-06-11,ODI # 3368,Out,2013,6
100,22,36,27,3,0,81.48,3,not out,2,v Pakistan,Birmingham,2013-06-15,ODI # 3372,Not_out,2013,6
101,58,80,64,4,1,90.62,3,not out,2,v Sri Lanka,Cardiff,2013-06-20,ODI # 3376,Not_out,2013,6
102,43,66,34,4,1,126.47,3,caught,1,v England,Birmingham,2013-06-23,ODI # 3377,Out,2013,6
103,11,19,21,0,1,52.38,3,caught,1,v West Indies,Kingston,2013-06-30,ODI # 3380,Out,2013,6
104,2,6,5,0,0,40.00,4,caught,2,v Sri Lanka,Kingston,2013-07-02,ODI # 3382,Out,2013,7
105,102,120,83,13,2,122.89,3,caught,1,v West Indies,Port of Spain,2013-07-05,ODI # 3383,Out,2013,7
106,31,62,52,4,0,59.61,3,lbw,1,v Sri Lanka,Port of Spain,2013-07-09,ODI # 3387,Out,2013,7
107,2,8,5,0,0,40.00,3,caught,2,v Sri Lanka,Port of Spain,2013-07-11,ODI # 3388,Out,2013,7
108,115,133,108,13,1,106.48,3,caught,2,v Zimbabwe,Harare,2013-07-24,ODI # 3395,Out,2013,7
109,14,35,18,2,0,77.77,3,caught,1,v Zimbabwe,Harare,2013-07-26,ODI # 3397,Out,2013,7
110,68,128,88,5,1,77.27,3,not out,2,v Zimbabwe,Harare,2013-07-28,ODI # 3399,Not_out,2013,7
113,61,121,85,6,0,71.76,3,lbw,2,v Australia,Pune,2013-10-13,ODI # 3419,Out,2013,10
114,100,82,52,8,7,192.30,3,not out,2,v Australia,Jaipur,2013-10-16,ODI # 3420,Not_out,2013,10
115,68,121,73,9,0,93.15,3,caught,1,v Australia,Mohali,2013-10-19,ODI # 3421,Out,2013,10
117,115,104,66,18,1,174.24,3,not out,2,v Australia,Nagpur,2013-10-30,ODI # 3424,Not_out,2013,10
118,0,4,3,0,0,0.00,3,run out,1,v Australia,Bengaluru,2013-11-02,ODI # 3428,Out,2013,11
119,86,120,84,9,2,102.38,3,caught,2,v West Indies,Kochi,2013-11-21,ODI # 3436,Out,2013,11
120,99,159,100,9,0,99.00,3,caught,1,v West Indies,Visakhapatnam,2013-11-24,ODI # 3437,Out,2013,11
121,19,19,18,3,0,105.55,3,caught,2,v West Indies,Kanpur,2013-11-27,ODI # 3439,Out,2013,11
122,31,41,35,5,0,88.57,3,caught,2,v South Africa,Johannesburg,2013-12-05,ODI # 3442,Out,2013,12
123,0,7,5,0,0,0.00,3,caught,2,v South Africa,Durban,2013-12-08,ODI # 3443,Out,2013,12
125,123,179,111,11,2,110.81,3,caught,2,v New Zealand,Napier,2014-01-19,ODI # 3456,Out,2014,1
126,78,88,65,7,2,120.00,3,caught,2,v New Zealand,Hamilton,2014-01-22,ODI # 3458,Out,2014,1
127,6,27,20,1,0,30.00,3,caught,2,v New Zealand,Auckland,2014-01-25,ODI # 3462,Out,2014,1
128,2,14,10,0,0,20.00,2,caught,1,v New Zealand,Hamilton,2014-01-28,ODI # 3465,Out,2014,1
129,82,129,78,7,3,105.12,3,caught,2,v New Zealand,Wellington,2014-01-31,ODI # 3467,Out,2014,1
130,136,157,122,16,2,111.47,3,bowled,2,v Bangladesh,Fatullah,2014-02-26,ODI # 3474,Out,2014,2
131,48,66,51,4,1,94.11,3,bowled,1,v Sri Lanka,Fatullah,2014-02-28,ODI # 3476,Out,2014,2
132,5,29,11,0,0,45.45,3,caught,1,v Pakistan,Mirpur,2014-03-02,ODI # 3479,Out,2014,3
134,0,1,3,0,0,0.00,3,caught,1,v England,Cardiff,2014-08-27,ODI # 3517,Out,2014,8
135,40,67,50,2,1,80.00,3,caught,2,v England,Nottingham,2014-08-30,ODI # 3520,Out,2014,8
136,1,9,3,0,0,33.33,3,not out,2,v England,Birmingham,2014-09-02,ODI # 3523,Not_out,2014,9
137,13,25,21,2,0,61.90,3,caught,2,v England,Leeds,2014-09-05,ODI # 3525,Out,2014,9
138,2,7,5,0,0,40.00,3,caught,2,v West Indies,Kochi,2014-10-08,ODI # 3531,Out,2014,10
139,62,124,78,5,0,79.48,4,caught,1,v West Indies,Delhi,2014-10-11,ODI # 3533,Out,2014,10
140,127,164,114,13,3,111.40,3,run out,1,v West Indies,Dharamsala,2014-10-17,ODI # 3535,Out,2014,10
141,22,34,21,2,0,104.76,4,caught,1,v Sri Lanka,Cuttack,2014-11-02,ODI # 3539,Out,2014,11
142,49,-,44,2,2,111.36,4,caught,2,v Sri Lanka,Ahmedabad,2014-11-06,ODI # 3540,Out,2014,11
143,53,-,61,4,1,86.88,4,caught,2,v Sri Lanka,Hyderabad,2014-11-09,ODI # 3543,Out,2014,11
144,66,109,64,6,0,103.12,4,run out,1,v Sri Lanka,Eden Gardens,2014-11-13,ODI # 3544,Out,2014,11
145,139,192,126,12,3,110.31,4,not out,2,v Sri Lanka,Ranchi,2014-11-16,ODI # 3547,Not_out,2014,11
146,9,24,16,0,0,56.25,4,caught,1,v Australia,Melbourne,2015-01-18,ODI # 3582,Out,2015,1
147,4,13,8,0,0,50.00,4,caught,1,v England,Brisbane,2015-01-20,ODI # 3586,Out,2015,1
